url,product_name,quantity,packaging,brands,categories_en,labels_en,stores,countries_en,ingredients_text,serving_size,main_category_en,image_url,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,fruits-vegetables-nuts_100g
http://world-en.openfoodfacts.org/product/0031014842287/natural-dark-chocolate-with-raspberries-endangered-species-chocolate,Natural dark chocolate with raspberries,3 OZ,10% PCW,Endangered species chocolate,Chocolate-with-raspberries,"Gluten-free,Kosher,Orthodox Union Kosher,Rainforest Alliance,10-net-profits-donated,72-cocoa,Certfied-vegan,D,Non-gmo-project-certified",,United States,,½ bar (43 g),Chocolate-with-raspberries,http://en.openfoodfacts.org/images/products/003/101/484/2287/front.6.400.jpg,2040.0,39.5,23.3,48.8,27.9,11.6,6.98,0.0,0.0,
http://world-en.openfoodfacts.org/product/0052600112751/marshmallow-fluff,Marshmallow Fluff,213 g,"Pot,Plastique,PET,PETE,1","Marshmallow,Durkee,Durkee-Mower  Inc.","Spreads,Breakfasts,Sweet spreads,fr:Pâtes à tartiner","Kosher,Orthodox Union Kosher","Auchan,Carrfeour","France,United States","Sirop de maïs, sucre, blanc d'_oeuf_ déshydraté, arôme artificiel éthylvanilline.",12 g (2 Tbsp),Spreads,http://en.openfoodfacts.org/images/products/005/260/011/2751/front.8.400.jpg,1382.0,0.0,0.0,81.0,49.0,,1.0,0.0,0.0,
http://world-en.openfoodfacts.org/product/0052600312755/marshmallow-fluff-fraise,Marshmallow Fluff Fraise,213 g,"Pot,Plastique,PET,PETE,1","Marshmallow,Durkee","Spreads,Breakfasts,Sugary snacks,Confectioneries,Sweet spreads,fr:Pâtes à tartiner,fr:Guimauves","Kosher,Green Dot,Orthodox Union Kosher",Auchan,France,"Sirop de maïs, sucre, blanc d'_oeuf_ déshydraté, colorant : rouge de betterave (E162), arôme artificiel de fraise.",,Spreads,http://en.openfoodfacts.org/images/products/005/260/031/2755/front.7.400.jpg,1382.0,0.0,0.0,81.0,49.0,,1.0,0.0,0.0,
http://world-en.openfoodfacts.org/product/0073435000044/original-hawaiian-sweet-rolls-king-s-hawaiian,Original Hawaiian Sweet Rolls,,4,"King's Hawaiian,  King's Hawaiian Bakery West  Inc.",Hawaiian-sweet-rolls,,,United States,"Enriched flour (wheat flour, enzyme, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, sugar, liquid sugar (sugar, water), butter (pasteurized cream, salt), eggs, contains less than 2% of each of the following: potato flour, yeast, whey, nonfat milk, soy flour, salt, yellow corn flour, wheat gluten, sodium stearoyl lactylate, datem, monocalcium phosphate, wheat flour, calcium sulfate, sodium silicoaluminate, ascorbic acid added as a dough conditioner, ammonium sulfate, wheat starch, sorbitan monostearate, enzymes, microcrystalline cellulose, calcium silicate.",28 g (1 oz),Hawaiian-sweet-rolls,http://en.openfoodfacts.org/images/products/007/343/500/0044/front.6.400.jpg,1343.0,7.14,3.57,57.14,17.86,0.0,10.71,0.72644,0.286,
http://world-en.openfoodfacts.org/product/0095111650107/le-batonnet-moelleux-10-batonnets-fleury-michon,Le Bâtonnet Moelleux (10 Bâtonnets),170 g ,"Frais,Boîte,Carton,2 Sachets Fraîcheur,Plastique",Fleury Michon,"Fresh foods,Seafood,Surimi","No preservatives,Sustainable fishery,Made in France,No artificial flavors,fr:Sans polyphosphates,fr:Filiere-poisson-contolee,fr:Qualite-garantie,fr:Visalim",Leclerc,France,"Chair de poisson (Colin d'Alaska et Merlu blanc) (38 %), eau, amidons (dont blé) (9,5 %), blanc duf réhydraté 5,5 %, huile de colza (4,5 %), sucre (2 %), sel (1,7 %), arômes naturels (contient crustacés, mollusques, poissons) (1 %) colorant : extrait de paprika (0,1 %). Contient : _blé_, _crustacés_, _mollusques_, _uf_, _poisson_.",5 bâtonnets (85 g) ,Fresh foods,http://en.openfoodfacts.org/images/products/009/511/165/0107/front.8.400.jpg,481.0,4.5,0.4,10.5,3.0,0.5,8.0,1.8,0.708661417,
http://world-en.openfoodfacts.org/product/0322475120435/gaufrettes-aux-framboises-casino,Gaufrettes aux Framboises,160 g,"Sachet plastique à jeter,Etui carton à recycler,4 Sachets de 8 gaufrettes",Casino,"Sugary snacks,Biscuits and cakes,Biscuits,Waffles,Stuffed waffles,Stuffed wafers,Wafers,fr:Gaufrettes-aux-framboises",fr:Info-tri-point-vert,Géant Casino,France,"Fourrage aux framboises 64.6%: sirop de glucose-fructose -  purée et purée concentrée de framboises (soit 30%* de framboises reconstituées) - stabilisant : glycérol - arômes - colorant : anthocyanes -gélifiant : pectines - correcteurs dacidité : citrates de sodium, acide citrique Biscuit 35.4%:  farine de blé - dextrose- farine de lupin - jaunes dufs en poudre - sel - huile de tournesol - émulsifiant : lécithines de colza - poudres à lever : carbonates de sodium, carbonates de magnésium.",1 sachet de 8 gaufrettes soit 40 g (Ce paquet contient 4 portions),Sugary snacks,http://en.openfoodfacts.org/images/products/032/247/512/0435/front.9.400.jpg,1530.0,1.1,0.3,84.0,38.0,,3.6,0.36,0.141732283,
http://world-en.openfoodfacts.org/product/08112133/grana-padano-gerieben-edeka-italia,Grana Padano gerieben,100 g,07 O,EDEKA Italia,"Dairies,Cheeses,Italian cheeses,Grated cheese,de:Grana-padano",PDO,EDEKA,Germany,"_MIlch_, SPeisesalz, Lab, Konservierungsstoff_ Lysozym (enthält _Hühnerei_)",,Dairies,http://en.openfoodfacts.org/images/products/08112133/front.5.400.jpg,1634.0,29.0,18.0,0.0,0.0,,33.0,1.5,0.590551181,
http://world-en.openfoodfacts.org/product/0884912111715/post-honeycomb-cereal-post-foods-llc,Post Honeycomb Cereal,12.5 OZ,Carton made from 100% recycled cardboard,Post Foods  Llc,,Labels-for-education,,United States,"Corn flour, sugar, whole grain oat flour, whole grain corn flour, honey, salt, natural flavor, yellow 5. bht added to packaging material to preserve product freshness. vitamin and minerals: niacinamide, reduced iron, zinc oxide (source of zinc), vitamin b6, vitamin a palmitate, riboflavin (vitamin b2), thiamin mononitrate (vitamin b1), folic acid, vitamin b12, vitamin d.",32 g (1.5 cup),,http://en.openfoodfacts.org/images/products/088/491/211/1715/front.5.400.jpg,1699.0,3.12,0.0,87.5,31.25,3.1,6.25,1.42748,0.562,
http://world-en.openfoodfacts.org/product/19127867/finest-dark-chocolate-bellarom,Finest Dark chocolate,100 g,"PP5,Plastique",Bellarom,"Sugary snacks,Chocolates,Dark chocolates,fr:Chocolats noirs extra fin","Green Dot,Rainforest Alliance",Lidl,France,"70% pâte de cacao, sucre, beurre de cacao, cacao maigre en poudre, émulsifiant : lécithines, arôme naturel de vanille.",20 g,Sugary snacks,http://en.openfoodfacts.org/images/products/19127867/front.7.400.jpg,2365.0,42.0,26.0,32.0,27.0,,9.8,0.01,0.003937008,
http://world-en.openfoodfacts.org/product/2000000002603/big-mac-mcdonald-s,Big Mac,220 g,"Carton,21 PAP,Boîte",McDonald's,"Sandwiches,Hamburgers",,McDonald's,France,"Pain spécial, steaks hachés, salade, oignon, cornichon, fromage fondu, sauce, (selon le site) En quantités inconnues : _Anhydride sulfureux et sulfites_, _Gluten_ (_blé_), _Graine de sésame_, _Lait_, _Oeufs_, _Moutarde_.","220 g. (non écrit, il faut faire le calcul à partir de la composition nutritionnelle)",Sandwiches,http://en.openfoodfacts.org/images/products/200/000/000/2603/front.27.400.jpg,964.0,12.0,4.5,19.0,3.9,1.4,12.0,1.0,0.393700787,
